Published On,Headline
"April 13, 2017","An upcoming referendum could change the way Turkey is governed. For many people in South Korea, the mood is ""business as usual,"" despite international tensions surrounding North Korea. And hydrogen technology is fueling cars and trains, but is it ready for prime time? These topics and more are explained today on CNN 10."
"April 12, 2017","Our first two stories today explain American and Russian tensions over the nation of Syria. From there, we report on a U.S. state's plan to offer free college tuition, and we tell you how stepping away from electronic screens can help promote better health."
"April 11, 2017","A U.S. aircraft carrier strike group is headed to the waters near the Korean Peninsula, and we're explaining how different countries view the change in course. Also featured: An asteroid is headed for an Earth ""fly-by""; an associate justice is headed for a gentle Supreme Court hazing, and a good stretch could help people head for older age in better health."
"April 10, 2017",Leading off the week's news on CNN 10: terrorist attacks in northern Africa and northern Europe. We're explaining the reasons for and responses to a U.S. airstrike on a Syrian airbase. And we're showing you how a CNN Hero is helping students with hearing loss and bringing joy to their lives and loved ones.
"April 7, 2017","In today's show, you'll learn about some of the history and significance of the nuclear option, which was employed after a filibuster yesterday in the U.S. Senate. Following a sweep of severe storms across the U.S., we're explaining the difference between a tornado watch and warning. And we're looking at a method by which birdlike drones are keeping their natural counterparts away from airports."
"April 6, 2017","As U.S. President Donald Trump prepares to meet with Chinese President Xi Jinping, how do the two leaders differ on their approaches to North Korea? And what other subjects will they discuss? Those topics are followed by reports on a mission to Saturn, the health benefits of reading, and a space station zipline."
"April 5, 2017","War, politics, science and nature are today's subjects on CNN 10. We're explaining an apparent chemical weapons attack in Syria, and we're breaking down a potential rule change in the U.S. Senate. Reports on brain games, the health benefits of getting out in nature, and a historic walk in space are also featured this Wednesday."
"April 4, 2017",There's a lot of ground covered in today's show. We're explaining how a subway conductor might've saved lives during an apparent terrorist attack in Russia. We're looking at the potential risk for a global outbreak of disease -- and what's being done to address it. And we're introducing the people who could become the first Winter Olympians from Afghanistan. Home buying in the U.S. and new uses for thermochromic ink round out the program.
"April 3, 2017","In today's show, you'll learn how a recent mudslide impacted part of Colombia, how vending machines impact Japan's economy, and how manatees are no longer on the U.S. government's list of endangered species. Also featured are a pair of stories related to firefighting: One centers on a new type of mask that could save lives, and another looks at how sports training can help with oxygen regulation."
"March 31, 2017","History plays a major role in this Friday's edition of CNN 10. First, Britain is writing history and facing historic challenges in its separation from the European Union. Then, researchers are recreating history by reconstructing a 13th Century man's face. Historic paintings are seen in a new light thanks to new technology. And a design company is hoping to make history with a skyscraper of the [distant] future."
"March 30, 2017","This Thursday's show begins with two stories concerning U.S. military forces in the Middle East. We're defining ""sanctuary cities"" before exploring the political debate over them, and we're introducing you to an engineer who's been working for decades to create a concert hall with perfect sound."
"March 29, 2017","President Trump signs a new executive order concerning the climate and jobs, and it reflects a very different approach than his predecessor. A settlement is reached concerning funding for water pipes in Flint, Michigan, but residents are still living with the effects of the city's water crisis. Stories concerning a volatile U.S. stock market and a dynamic type of gel are also included in today's show."
"March 28, 2017","As Britain formally begins the process of separating from the European Union, CNN 10 explains what Article 50 is and gives you a sense of why this division is expected to take two years. Meanwhile, Australia is assessing the damage from Cyclone Debbie. And while British authorities investigate what led to last week's terrorist attack in London, we're exploring the debate over whether government officials should have access to encryption technology."
"March 27, 2017",A new leader is chosen in Hong Kong - but not without controversy. A Republican effort to replace Obamacare falls short in the House. Another moon race may be getting off the ground. And a CNN Hero gives children a refuge from violence in Chicago. It's all covered today on CNN 10.
"March 24, 2017","Following the arrest of a man suspected of threatening Jewish centers in several countries, we're bringing you perspective from a woman who survived a Nazi concentration camp in World War II. Our other stories today include a company's plan to give undersea tours of the Titanic and a product that could help people correct their posture."
"March 23, 2017",An apparent terrorist attack is being investigated in the capital of the U.K. A historic American company says it's not sure it can stay in business. Researchers in Vietnam try to address the bees' needs to promote pollination. And a CNN Hero helps elderly Native Americans in the U.S. West.
"March 22, 2017","Leading off today's show: A change is in the air, as the U.S. government requires airline passengers flying from certain countries to check their electronics, rather than carry them in the cabin. Changes have also been made to a Republican proposal to overhaul U.S. health care. And life has changed for Japanese schoolchildren amid recent threats from North Korea. Also featured: a look at how a charity is giving shelter to Mexicans in need."
"March 21, 2017","Following a day of events on Capitol Hill, we're breaking down three of the subjects discussed by the leader of the FBI, and we're reporting on the first hearing involving a potential Supreme Court justice. Also featured: the possible uses for virtual reality in helping people overcome their phobias."
"March 20, 2017","At America's largest seaport, it's not just illegal drugs that U.S. agents are looking for; it's the machines used to process them. On Monday's show, get a sense of what it's like to search for pill presses. We're also reporting on a frozen pizza recall, the dangers of listeria, and an early allergy season in the U.S."
"March 17, 2017","We have a fascinating show planned for you this St. Patrick's Day. You'll get an explanation of the latest hold on a U.S. immigration order, you'll see historic U.S. nuclear test footage, and you'll see what it's like to hike near a lava lake. You'll also meet a CNN Hero who's helping sick children attend school via robot, and you'll learn how much dye it takes to turn a river green."
"March 16, 2017","A vote in the Netherlands is being closely watched across Europe, and we're explaining why today on CNN 10. Another major story in European politics involves a renewed push to separate Scotland from the United Kingdom, though a potential referendum may be years away. And we're breaking down a Fed decision to raise its key interest rate and how this could eventually affect all Americans."
"March 15, 2017","In today's show, find out what a U.S. government budget agency is saying about a health care reform plan. Step aboard an American aircraft carrier near the Korean Peninsula. Discover why millions of people in India recently covered each other in powdered colors. And venture to northern Alaska, the site of a major discovery of black gold."
"March 14, 2017","More than 20 million people are facing the threat of famine and starvation, according to the United Nations. Today, we're explaining why and what the U.N. wants to do about it. Afterward, we're examining whether the ISIS terrorist group could be completely eradicated, and we're looking at a wintery forecast for the U.S. Northeast. Other subjects include a meeting of heroes and a dog that stole an agility show by making mistakes."
"March 13, 2017","South Korea's former president leaves the executive mansion after being impeached. A ""bull market"" in the U.S. celebrates a birthday. And a company aims to make a translator out of a smartphone app. All of these stories and more are featured this Monday on CNN 10!"
"March 10, 2017","With U.S. Marines reportedly on the ground in Syria, we're explaining why officials are focused on the city of Raqqa. As the U.S. prepares to ""spring forward"" to daylight-saving time, we're exploring the history of the time change. And in case you forget to set your clocks forward, we're bringing you a champion's tips for improving your memory."
"March 9, 2017","As tensions rise on the Korean Peninsula and abroad, we're explaining what exactly a THAAD unit is, what it's used for, and why China is concerned about it. Also featured are reports on International Women's Day and CNN's Freedom Project. And we're examining a recent study that linked social media usage with loneliness."
"March 8, 2017","A proposal to overhaul the U.S. health care system and the reactions to it are our first topics today on CNN 10. Then, we're taking you to the Southern Hemisphere for a look at how a dilapidated stadium is emblematic of one nation's recession. How chip cards can be hacked and how a museum can serve as a gym are two other subjects on today's show."
"March 7, 2017","A revised immigration order from the U.S. president leads off our reporting this Tuesday. It's followed by a look at how North Korea's weapons program is accelerating. From there, we're examining the history of the world's most famous sled dog race, and we're telling you how you can nominate a future CNN Hero."
"March 6, 2017","Thank you for kicking off a new week with CNN 10! In today's show: A gathering of 3,000 lawmakers takes place in China, a lesson in forced labor opens the eyes of some high school students, and an internet expert discusses what can be learned from a few dozen Facebook likes."
"March 3, 2017","Why is the Iraqi city of Mosul significant to the ISIS terrorists who control it and the Iraqi-led troops who are fighting to get it back? An explanation is our first topic today on CNN 10. Afterward, we're taking you to the region of Hong Kong to examine potential tensions over an upcoming election. And we're putting one of our reporters in a tank to see what it's like for a city slicker to handle historic artillery."
"March 2, 2017","Meteorology, epidemiology, sociology and technology all factor in to this edition of CNN 10. We're reporting on the science behind tornadoes. We're monitoring an epidemic of bird flu in humans. We're examining action being taken against modern-day slavery, and we're explaining why a company wants to develop self-driving racecars. There's a lot of ground covered this Thursday!"
"March 1, 2017","The day after U.S. President Donald Trump addressed Congress and the nation, we're bringing you some highlights of his speech and explaining the difference between a president's annual message and a State of the Union address. That's followed by some highlights of the Democratic Party response by former Kentucky Governor Steve Beshear. And after our political coverage comes science news, with reports on potential ""moon tourism"" and the testing of a unique wind tunnel in Florida."
"February 28, 2017",The U.S. president gives some details about his upcoming budget proposal. An international mystery deepens concerning a murdered relative of North Korea's leader. A debate takes place regarding H-1B visas. And a crowdfunding site helps Americans cover the cost of adoption. It's all featured this Tuesday on CNN 10.
"February 27, 2017","We're venturing inside an ancient city of Iraq today to observe how the ISIS terrorist group is destroying some of the region's cultural heritage. We're also bringing you a quartet of scientific stories, examining everything from weather to space to bees that play ""soccer."""
" (CNN)February 24, 2017","There's been a change in U.S. government rules regarding gender and bathroom use in public schools. Today, we're explaining the background of the controversy and differing reactions to the new guidance. Afterward, we'll tell you what country is projected to have the longest life expectancy in the year 2030. And we'll explain why one company is hoping to mine asteroids."
" (CNN)February 23, 2017","A recent night of riots in Sweden has fueled a debate that's raging even though the violence has calmed. An announcement regarding newly discovered planets has scientists searching for signs of life, though it wouldn't exactly be nearby. And the dangerous sport of freediving gives participants a thrill that goes well below the surface."
" (CNN)February 22, 2017","Drones in warfare: An example of how the ISIS terrorist group is using unmanned vehicles is seen during the battle for Mosul. Drones in commerce: We're showing you how UPS is testing unmanned vehicles as a way to deliver packages. And after a look at what scientists say is a newly discovered type of dinosaur, we're exploring research that could lead to the return of the wooly mammoth."
"February 21, 2017","We're taking you inside the troubled nation of South Sudan this Tuesday for an explanation of the reasons behind its violence. Then, we define the term ""two-state solution"" with regard to the Middle East peace process and explore why it's challenging to achieve. Flooding in California, a rocket launch in Florida, and the fight against ""superbugs"" are also featured in this show."
"February 17, 2017","The issue of immigration in the U.S. and a rare look inside a secretive, Communist nation are today's first two topics. We're also bringing you some martial arts trivia ahead of an uplifting report about a studio that's helping students with special needs. Finally, the return of hidden money from inside a recycled TV becomes the ultimate cash-back program."
"February 16, 2017","Relations between the U.S. and Israel, Israeli settlements in the West Bank, and some history of international walls are our first three stories this Thursday. They're followed by reports on ""wrestling diplomacy"" in Iran and a spectacular, seasonal display at Yosemite National Park."
"February 15, 2017","We start today by explaining why the U.S. national security adviser recently resigned. Then, we're delving into two reports on North Korea: The first examines what can be learned from its recent missile launch; the second looks at North Korea's relationship with its only major ally. Afterward, we're examining the toll of Malaria and the efforts to fight it, and we're exploring the world of pens that seem to bring ""the write stuff."""
"February 14, 2017","Instability at a dam in California leads to the evacuation of nearly 200,000 people. A spike in heroin overdoses causes problems for a medical facility in Kentucky. And a ""mass stranding"" of whales challenges conservationists and volunteers in New Zealand. These stories and more are featured today on CNN 10."
"February 13, 2017","The significance and timing of a North Korean missile test are explained first today, and that's followed by a look at a U.S. appeals court ruling on a controversial immigration order. Protecting great white sharks and nursing rare tiger cubs are our two other topics this Monday."
"February 10, 2017","In today's show, you'll learn why a major snowstorm in the U.S. Northeast isn't technically a nor'easter. We're also explaining how crowdsourcing technology is helping farmers overcome challenges and how DNA evidence was used to save a dog's life. And snowflakes get an extreme close-up."
"February 9, 2017","South Korea is no stranger to either the Olympic Games or the challenges they present. But exactly one year from the 2018 Winter Games, the nation looks like it'll be ready for its close-up. Meanwhile, parts of Louisiana are recovering from a storm system that spawned tornadoes. And we bring you some highlights from a CNN town hall debate over U.S. health care law."
"February 8, 2017","The East China Sea and the South China Sea are two of the stops on today's show. Understand why islands in these areas are disputed. After some constitutional trivia, we're reporting on a historic, tiebreaking vote in the U.S. Senate. And we're examining whether virtual reality technology will live up to its hype."
"February 7, 2017","We begin today by reporting on legal developments concerning a U.S. immigration order, conflict in the European nation of Ukraine, and what some scientists are all calling evidence of a ""lost continent."" We're also feature a flu vaccine report as influenza season peaks in America."
"February 6, 2017","Get ready for liftoff: Today's special edition of CNN 10 is taking you up, up and away as we focus on space. Hear arguments for and against deep space travel. Find out what kind of vehicle would be needed. And consider the potential effects of long-term missions on the human body."
"February 3, 2017","Today's stories on CNN 10 include tensions between the U.S. and Iran, following a recent missile test by the Middle Eastern country. After some 10-Second Trivia on earthquakes, we're examining these natural events in depth. And as Super Bowl LI approaches, we're explaining the significance of the event and showing you how it's not only men who participate in the sport of tackle football."
"February 2, 2017","Today, we're reporting on President Trump's nominee for the U.S. Supreme Court, and we're exploring different elements of the confirmation process. That's followed by a look at tensions between the U.S. and North Korea. And our feature stories include a lava stream in Hawaii and the history of Groundhog Day."
"February 1, 2017",We're taking you to the United Kingdom today for a historical look at the special relationship between Britain and the U.S. We're also looking skyward for stories involving a plan to clean up space junk and a nonagenarian who celebrated his birthday by jumping out of a plane.
"January 31, 2017","Today's topics include an examination of NATO, why it's significant, and what its future might be. We're also covering an attack on a mosque in Canada, and we're explaining how much-needed relief has arrived for California's historic drought. And new technology helps athletes in an old-school sport perfect their punches."
"January 30, 2017","Today's show explores both sides of the debate over a controversial executive order concerning travel to America. After some U.S. Supreme Court trivia, we're naming the justices that President Trump's nominee could eventually be working with. And we're following up on a story out of Flint, Michigan to see the progress and the pain surrounding the city's water crisis."
"January 27, 2017",One foreign leader arrives in the U.S. while another cancels his trip; one holiday triggers the world's largest annual human migration; and one record-holding mountain is suspected to have shrunk after an earthquake struck. Travel the world with us this Friday on CNN 10!
"January 26, 2017","Israeli settlements in the West Bank, major changes to U.S. immigration policy, and a new high note for the Dow Jones Industrial Average: These are our main stories today on CNN 10. We'll test your stock market knowledge, and we'll explain how you can name a roach in the name of love."
"January 25, 2017","Today's explanatory coverage centers on a pair of controversial U.S. oil pipelines, a pair of executive actions, and a look at what exactly an executive action is. After that, we're taking you to Asia for a view of the massive amounts of E-waste that are building up. And we're making a stop in the Middle East at the crossroads of technology and firefighting."
"January 24, 2017","What are the Trans-Pacific Partnership and NAFTA? Today's show begins by explaining these agreements and why the new U.S. president is rejecting one and planning to renegotiate the other. A tense leadership change in Gambia, a look at the world's most expensive places to live, and a retailer's balancing act between online and brick-and-mortar stores complete today's coverage."
"January 23, 2017","This Monday's special edition of CNN 10 reports on the inauguration of U.S. President Donald Trump and brings you an overview of related weekend events. We show you some highlights of his inaugural address, explore some constitutional trivia, and look at demonstrations across the U.S."
"January 20, 2017","It's great to have you watching today's special edition of CNN 10! It's Inauguration Day in the U.S., and today's show gives you an in-depth look at the 35 words that officially transition a U.S. president-elect to the title of U.S. president."
"January 19, 2017","Today's show explains a U.N. report that 2016 was the warmest year on record, though that's not definitive in every measurement. We also give you an overview of President Barack Obama's last news conference as U.S. leader, and we take a look at the World Economic Forum meeting through the perspective of a skier assessing risk."
"January 18, 2017",The search has been suspended for Malaysian Airlines Flight 370. U.S. troops and equipment are on the move throughout Eastern Europe. The U.S. capital is preparing for a presidential inauguration. And we take a historic look at Inauguration Day traditions. It's all explained this Wednesday on CNN 10.
"January 17, 2017","The legacy of Martin Luther King Jr., the possibility of ""pollution-proofing"" a home in Beijing, and the first-ever video of a recently identified ocean species: These are our first three stories on CNN 10. The strike of a rattlesnake in the wild and the end of an era for the circus are also featured this Tuesday."
"January 13, 2017","Though a series of winter storms has eased California's historic drought, it's also burdened many residents with another type of natural disaster. Though a proposed tunnel could ease traffic under one of Britain's most famous landmarks, it's bringing another controversy to the surface. Those stories, plus a look back at historic U.S. inauguration speeches, constitute Friday's edition of CNN 10."
"January 12, 2017","The U.S has made a large military deployment to Eastern Europe, and CNN 10 explains how NATO and Russia factor in. We're also incorporating presidential news and trivia into today's show, following President Obama's farewell address. And we're giving you a bear's eye view of the Arctic"
"January 11, 2017","A looming economic disaster in Venezuela starts things off today on CNN 10, as we explain its causes and effects. After that, we're examining coral bleaching and how it has impacted a fisherman's family near Madagascar. And we explore the rise and fall of the Yahoo Internet company."
"January 10, 2017","Our three main stories today on CNN 10: America's position on North Korea's potential nuclear threat, how the U.S. Senate confirmation process works for presidential Cabinet nominees, and where airplanes land for the last time."
"January 9, 2017","Give us 10 minutes, and CNN 10 will give you reports on U.S. intelligence, widespread winter weather, mixed economic signs, and a technological tool touted at CES. We'll also show you how a college swim team made the best of being snowed in during its meet."
"January 6, 2017","Our second production of CNN 10 covers a lot of ground in 10 minutes. We're explaining air pollution in China, some factors that drive Russia's president, and a characteristic shared by all drone bees. We're also looking for a bee species that may be extinct, and we're examining exactly why a ball is famously dropped on New Year's Eve."
"January 5, 2017","Welcome to our very first production of CNN 10! Our international coverage explains the latest rift between the U.S. and Russia as well as the reasons for tensions between the U.S. and Israel. After 10 seconds of trivia, we're showing you what it's like to be a freshman in the new Congress, and after a report on the social media ""filter bubble,"" we're showing you a walking robot that's truly 10 out of 10."
"December 16, 2016","On our last show of 2016, CNN Student News explores the topics of an evacuation in Aleppo, the potential threat posed by North Korea, and a recently announced hack of the Yahoo technology company. We're also providing details on our new show, CNN 10, which launches on January 5th!"
"December 15, 2016","On our penultimate show of 2016, CNN Student News is taking you to the nation of Turkey, examining some of the political, geographical and social challenges it's facing. That report is followed by an explanation of the interest rate increase by the U.S. Federal Reserve. And stories involving a dinosaur discovery and new uses for motion-capture cameras round out our coverage."
"December 14, 2016",Science and nature factor heavily into today's show. We begin by reporting on an arctic air mass that's moving across the U.S. And we feature reports on how the numbers of giraffes and frogs in some parts of the world are on the decline. Also covered: two new Cabinet nominations by the U.S. president-elect.
"December 13, 2016","Topping today's show, as we resume our daily current events coverage: The White House orders a review of hacking related to U.S. elections. That's followed by reports on tensions and upheaval on the Korean Peninsula, terrorist attacks in three world cities, and the CNN Hero of the Year."
"December 12, 2016","Welcome to a special edition of CNN Student News! Today, we're venturing to the Midway Islands, an extraordinarily remote area that's been exceptionally polluted by plastic. Learn how our garbage ""leaks"" into the ocean, how it finds its way to distant shores, and how it affects their environment."
"December 9, 2016","This Friday, we're covering the passing of John Glenn, the importance of the Syrian city of Aleppo, and the naming of TIME Magazine's ""Person of the Year."" We're also looking into swarm technology to see how multitudes of tiny robots could one day be used to accomplish larger tasks."
"December 8, 2016","A deadly earthquake in Indonesia, a look at the Pacific Ring of Fire, and a comparison between a historic and a potential ""Cold War"": These are the first stories we're covering this Thursday. Other topics include the ongoing fight against the Zika virus and a soccer training device like no other."
"December 7, 2016","On National Pearl Harbor Remembrance Day in the U.S., CNN Student News is looking back at the events of December 7, 1941 and bringing you the memories of a survivor. In a feature focused on biology and technology, we explain how bacteria could become a common source of light. And we show you what happens when cats join a yoga class."
"December 6, 2016",Today's show brings you results from a high-stakes Italian referendum. Our international coverage also explores the complex relationship between China and Taiwan -- and looks at how the U.S. factors in. An update on the Dakota Access Pipeline and an explanation on a dangerous type of cyberattack round out our coverage.
"December 5, 2016","We kick off the week with an explanation on the significance of a recent vote in Italy. That's followed by dramatic images of smog at a Chinese airport, and we're updating the standoff near the controversial Dakota Access Pipeline. Our final feature: a look at just how much preparation it takes to be a standout Santa."
"December 2, 2016","The United Nations has voted to issue North Korea its toughest sanctions yet over the country's controversial nuclear program. A U.S. heating and air conditioning company says it's keeping more than 1,000 jobs in Indiana, following a deal with the incoming presidential administration. And Americans (and American organizations) look to the Far East in hopes of exporting their favorite sport."
"December 1, 2016",Questions answered on our show this Thursday: Why are U.S. Marines participating in military exercises with Norwegian troops near a Russian border? What amount of student loan debt will the U.S. government pay for in the coming years? And why will Senate Republicans require the votes of some Democrats to overcome potential filibusters in the next U.S. Congress?
"November 30, 2016","A great deal of information is featured in today's show, from a tragic and mysterious plane crash in Colombia to deadly wildfires in the U.S. Southeast to nationwide protests concerning the minimum wage. We're also featuring part two of our series on what a ""war in space"" would look like -- and what weapons the U.S. may have if it goes on the offensive."
"November 29, 2016","Our first stories this Tuesday include an attack at Ohio State University, the Cabinet picks by the U.S. president-elect, and the challenge that the Middle East poses to the U.S. We're also looking at how a war in space could affect people on the ground -- and how the U.S. is on guard against attacks in orbit."
"November 28, 2016","The death of a controversial world leader is where we start today, bringing you two very different types of gatherings that followed the news. Afterward, we're explaining an effort to recount votes in several American states, and we're exploring how an Israeli company has reinvented the wheel."
"November 22, 2016","This Tuesday on CNN Student News: Tensions rise between China and Hong Kong, we examine the plight of Christians in Iraq, and we explain why the Dead Sea is shrinking -- and what's being done about it."
"November 21, 2016","How to avoid ""fake news,"" how a farmer rescued his cows after the ground collapsed around them, and how a new satellite could change the way we see weather: These are three of the topics we're covering today. The past, present and future of Black Friday sales are also explored."
"November 18, 2016","This Friday, learn about some upcoming changes in the U.S. Congress. We also examine the significance of a meeting between the U.S. president-elect and the Japanese prime minister. And we explain the history of NAFTA, why the international agreement is controversial, and how its results have been mixed."
"November 17, 2016","Today's show takes you to Aleppo, Syria, where a humanitarian catastrophe has replaced a once-bustling city. Our health coverage brings you an explanation of how wildfires in the U.S. Southeast have impacted the region's air quality. A government requirement that electric cars make more noise and a look at the history of the QWERTY keyboard round out our program."
"November 16, 2016","First up today, we're reporting on President Obama's last international trip while he's in office. We're also giving you an in-depth look at the longest war in which the U.S. has ever been involved. Wrapping up the show: a delay in the construction of the controversial Dakota Access Pipeline and a look at how movie theaters are hoping to fill seats."
"November 15, 2016",Featured this Tuesday: A CNN reporter in Iraq describes what it's like to be trapped overnight in the middle of a battle. A move to cut down on counterfeiting in India has wide-ranging side effects. The U.S. president-elect builds a team to help run the government. And an American museum memorializes toys.
"November 14, 2016","Natural disasters are covered extensively today in reports from New Zealand to North America. We're explaining why part of the South Pacific is prone to earthquakes, we're examining the fight against forest fires in Appalachia, and we're exploring how a drought may be preventing tornadoes in the U.S. Also featured: good and bad news for Egypt's economy."
"November 11, 2016","A highest-level meeting at the White House leads off today's show, covering a get-together of the U.S. president and president-elect. Afterward, a report on Veterans Day explores the history of the day itself and the sacrifices made by today's veterans and their families. And finally, a shipwreck tells tales off the northern coast of Lake Superior."
"November 10, 2016","Unity is the thread that weaves together today's first three stories. In a concession speech from Democratic Presidential Nominee Hillary Clinton, a statement from President Barack Obama, and an address from House Speaker Paul Ryan, you'll hear calls for unity in the U.S. We're also examining reactions from international leaders and markets to the election of Republican Presidential Nominee Donald Trump."
"November 9, 2016","The U.S. presidential election is front-and-center today on CNN Student News. Learn how President-Elect Donald Trump clinched the vote, hear what he said in his victory speech, and find out when Democratic Presidential Nominee Hillary Clinton conceded. Explanations on how CNN projects elections and how the makeup of Congress was shaping up are also featured this Wednesday."
"November 8, 2016","This U.S. Election Day, join us for explanations on the candidates' potential paths to victory, the limits on free speech at polling venues, and the challenges of a presidential transition. We're also covering massive protests in South Korea and a celestial sighting that occurs less than once in a blue moon."
"November 7, 2016","Today's show begins with an update on a story concerning an FBI investigation and a U.S. presidential candidate. Afterward, we're looking at shifts in CNN's projected electoral map, and we're explaining how past, future and present voting factor in to electoral outlooks. We're also reporting on the switch to Standard Time and the New York City Marathon."
"November 4, 2016","A complication in the British exit from the European Union, a possible clue in the decades-old mystery surrounding Amelia Earhart's disappearance, and an accident that could lead to gas shortages in the U.S. Southeast are all featured this Friday. Afterward, we examine a U.S. electoral map based on recent polls, and we show you where you can build your own."
"November 3, 2016","With the U.S. presidential election just five days away, we're providing an in-depth explainer on what exactly the Electoral College is -- and what happens if there's a tie in the college on Election Day. Also featured is a look at how the U.S. Supreme Court chooses its cases. And we're reporting on the migrant camps springing up in Paris amid a housing shortage."
"November 2, 2016","Returning to our daily current events coverage, CNN Student News explains an investigation concerning the FBI and a U.S. presidential candidate. We also update you on the fight to wrest the Iraqi city of Mosul from ISIS, and we provide a detailed look into the controversy surrounding the Dakota Access Pipeline."
"November 1, 2016","Our special edition series on the dangers of distracted driving concludes today. We're explaining how technology, which is often implicated in motor vehicle crashes, can also be used to prevent them. Our daily current events coverage resumes tomorrow."
"October 31, 2016",Thank you for joining us for this special edition of CNN Student News! We're launching a two-part series focused on the dangers of distracted driving. Today's report brings you the personal accounts of people who've been directly affected by accidents involving a distracted driver.
"October 28, 2016","Today's international headlines: The World Wildlife Fund issues a warning concerning the planet's animals, experts compare the deterioration of U.S.-Russia relations to a new Cold War, and Japan tests the next chapter of its Shinkansen network. We're also telling you about a penguin that was recently outfitted with a wetsuit. Why? Because Fridays are awesome!"
"October 27, 2016",A new report from the United Nations underscores the risks being taken by thousands of migrants crossing the Mediterranean Sea. A new report funded by NASA suggests muscle loss in space is responsible for the back problems of many astronauts. And a new medical study has some doctors concerned about hits to young football players -- even when they don't suffer concussions. We're also examining how a haunted house's technology is being used as a teaching tool.
"October 26, 2016","With Election Day in the U.S. less than two weeks away, we're spotlighting the balance of power in the Senate and the House of Representatives. We're also looking at the destruction that ISIS left behind as it retreated toward the Iraqi city of Mosul, and we're exploring some research that aims to harness the cognitive stimulation of video games."
"October 25, 2016","In France, what is ""The Jungle,"" why is it in Calais, and why are authorities moving people out of it? An explanation of that story leads off our show, followed by a new theory that attempts to explain the mysteries of the Bermuda Triangle. Afterward, we're telling you about a study on the effects of selfies. And we kick off a two-part series on video games, examining the mental and physical threats they can pose to gamers."
"October 24, 2016","Today, meet up with an explosives expert in Iraq to find out the kinds of risks troops take when disarming bombs and booby traps. Learn why AT&T wanted to buy Time Warner - and why the deal is significant to both corporations and consumers. And hear an explanation of vote recounts as they relate to U.S. elections."
"October 21, 2016","Friday's show begins with an apparent setback for the European Space Agency, following the loss of communication from a Mars lander. Afterward, we're headed to the Philippines for reports on natural and political storms. An examination follows into how the U.S. might respond to alleged computer hacking by Russia, and we feature a Character Study of a teen whose work aims to prevent bullying."
"October 20, 2016","Today's show is all about numbers: the third (and final) debate between the top two U.S. presidential candidates, the fourth (and final) installment in our series on the U.S. heroin epidemic, and the three candidates running for president of the Alaska Zoo. "
"October 19, 2016","Have researchers discovered secret rooms in the Great Pyramid of Giza? This question kicks off today's show, followed by a mystery of dying frogs in Peru. We're also previewing tonight's U.S. presidential debate, and we're examining the upcoming election in terms of the House and Senate. And our series on U.S. heroin abuse centers on a doctor who's helping her community fight back."
"October 18, 2016","This Tuesday, our coverage begins in Mosul, where a battle has begun that could signal the beginning of the end for ISIS in Iraq. We also explore a significant step forward in China's space program, and we show you how one U.S. community has been affected by the nation's heroin epidemic."
"October 17, 2016","International officials call for an immediate ceasefire in Yemen, the Iraqi air force warns residents of Mosul about an upcoming battle, and the Great Barrier Reef shows signs of poor health. After we cover those stories, we're kicking off a series that examines America's heroin epidemic, beginning with a look at how the drug is smuggled into the country by air, land and sea."
"October 14, 2016","Though Russia denies accusations of meddling in the upcoming U.S. elections, questions have been raised about the security of electronic voting in America. Today, find out where vulnerabilities may lie. Also featured: An Asian country is in mourning, following the death of a revered ruler. And we're showing you how Japanese technology helps keep Tokyo's streets uncluttered by bicycles."
"October 13, 2016","In Ethiopia, there's a state of emergency as protests, violence, and ethnic tensions flare. In Iraq, a community struggles to recover from an oil inferno left behind by ISIS terrorists. At the United Nations, health officials urge global governments to impose a controversial tax on sodas. And in the U.S., a company works to enhance crops by coating seeds with bacteria."
"October 12, 2016","A South Korean technology company recalls one of its flagship smartphones, flood warnings are issued in North Carolina days after Hurricane Matthew passed, and some residents of Haiti begin a long rebuilding process after losing their homes. All of these stories, plus an examination of whether there's a public appetite for a manned Mars mission, are featured on today's program."
"October 11, 2016","Our international events coverage on CNN Student News centers on the apparent missile attack on a U.S. warship near the coast of Yemen. We're bringing you historical perspective on Sunni and Shia Muslims, and we're taking you underground to where a secret library housed volumes of good memories for a Syrian teenager. And our Character Study shows how a former racecar driver is helping show young people how to navigate dangerous situations on the road."
"October 10, 2016","Today's edition of CNN Student News brings you some highlights of last night's U.S. presidential debate between the Democratic and Republican nominees. We're also assessing some of the damage caused by Hurricane Matthew, following its destructive trek up the coast of the U.S. Southeast."
"October 7, 2016","Today's show begins with a focus on Hurricane Matthew, providing a look at its strength, an illustration of its potential storm surge, and an explanation of how storm names are determined. We examine how China could pose a significant challenge for the next U.S. president, and we take you to a facility in Colorado that gathers food waste and processes it into energy."
"October 6, 2016","With Hurricane Matthew churning in the Caribbean, we're looking at where the storm has been, where it might be going, and how its effects extend well beyond its eye. Following the one and only U.S. vice presidential debate, we're bringing you some clips from the face-off. And with international teams competing for a shot at the moon, we're exploring their driving force."
"October 5, 2016","Tensions between the U.S. and Russia headline today's show, and we're also looking into the potential international challenges posed by North Korea. An introduction to two U.S. vice presidential running mates is included today, as well as a glance at recent presidential polls. And we have a pair of stories that illustrate why bees are getting so much buzz in the news."
